                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0653,                 4.4869,                 3.8541,                0.00248,                0.12593,                0.00321,                0.00117,                 3.2174,                  35.14,                 3.3209,             0.00033304,             0.00033304,             0.00033304
                      2,                 2.7309,                 3.8121,                  3.014,                 0.0196,                0.10349,                0.02481,                0.00989,                 2.8237,                 4.2519,                 2.7193,              0.0006004,              0.0006004,              0.0006004
                      3,                 2.4829,                 3.3948,                 2.6675,                0.27309,                0.10835,                0.08031,                0.04689,                 2.6079,                 3.2585,                 2.4844,             0.00080176,             0.00080176,             0.00080176
                      4,                 2.2794,                 3.0205,                 2.4241,                0.29389,                0.15659,                0.12104,                0.06737,                 2.4024,                 3.2919,                 2.3106,               0.000703,               0.000703,               0.000703
                      5,                 2.0858,                 2.7616,                 2.2479,                0.22886,                0.27184,                0.20011,                0.11709,                 2.2062,                 2.8077,                 2.1618,               0.000604,               0.000604,               0.000604
                      6,                 1.9509,                 2.5834,                 2.1233,                0.28632,                0.27625,                0.25444,                0.15232,                 2.0758,                 2.4692,                 2.0228,               0.000505,               0.000505,               0.000505
                      7,                 1.8368,                 2.4237,                 2.0055,                0.34538,                0.31677,                0.27288,                0.16643,                 1.9998,                 2.4489,                 1.9785,               0.000406,               0.000406,               0.000406
                      8,                 1.7793,                 2.3089,                  1.944,                0.37371,                0.37241,                0.31574,                0.19512,                 1.9475,                 2.3611,                 1.9117,               0.000307,               0.000307,               0.000307
                      9,                 1.7084,                 2.2208,                 1.9056,                0.42105,                0.37155,                0.33941,                0.21268,                 1.8813,                 2.2956,                 1.8728,               0.000208,               0.000208,               0.000208
                     10,                 1.6712,                 2.1357,                 1.8673,                0.48347,                0.38092,                0.36691,                0.23371,                 1.8057,                 2.1226,                 1.8095,               0.000109,               0.000109,               0.000109
