                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3473,                 4.2572,                 3.9466,                0.00711,                0.06091,                0.00487,                0.00151,                 3.0781,                 5.3909,                 3.2896,             0.00033289,             0.00033289,             0.00033289
                      2,                 2.6912,                 3.6429,                  3.073,                0.73685,                0.07011,                  0.047,                0.02071,                 2.6477,                 4.2689,                 2.8509,             0.00064973,             0.00064973,             0.00064973
                      3,                  2.212,                 3.2307,                 2.5596,                0.49933,                0.11592,                0.09055,                0.04421,                 2.3498,                 3.6624,                 2.5278,             0.00095008,             0.00095008,             0.00095008
                      4,                  1.993,                 2.9484,                 2.3248,                0.26479,                0.15677,                0.14334,                0.08141,                  2.197,                 3.7023,                 2.3992,             0.00092575,             0.00092575,             0.00092575
                      5,                  1.869,                 2.7582,                 2.1921,                0.35351,                0.24402,                 0.1766,                0.10405,                 2.1883,                 3.1119,                  2.294,               0.000901,               0.000901,               0.000901
                      6,                 1.7859,                  2.642,                 2.0945,                0.24618,                0.28661,                0.22787,                0.14086,                 2.0026,                 3.0003,                 2.1203,             0.00087625,             0.00087625,             0.00087625
                      7,                 1.7052,                 2.5036,                 2.0161,                0.37822,                0.24517,                0.26365,                0.16825,                 1.9121,                 2.5238,                 2.0598,              0.0008515,              0.0008515,              0.0008515
                      8,                 1.6592,                 2.4232,                 1.9676,                 0.4166,                0.35167,                0.29429,                0.18949,                 1.8422,                 2.5671,                 1.9437,             0.00082675,             0.00082675,             0.00082675
                      9,                 1.6117,                 2.3216,                 1.9072,                0.36575,                 0.3521,                0.33317,                0.21284,                 1.7928,                 2.2178,                 1.9124,               0.000802,               0.000802,               0.000802
                     10,                 1.5736,                 2.2488,                 1.8739,                0.40457,                0.39656,                0.38377,                0.25091,                 1.7417,                 2.1248,                 1.8712,             0.00077725,             0.00077725,             0.00077725
                     11,                 1.5221,                 2.1816,                 1.8191,                0.43338,                0.42614,                0.40802,                0.27078,                 1.6897,                 2.0218,                 1.8188,              0.0007525,              0.0007525,              0.0007525
                     12,                 1.4966,                 2.0879,                 1.7873,                0.46624,                0.43805,                0.43361,                0.28345,                 1.6783,                 1.9418,                 1.8054,             0.00072775,             0.00072775,             0.00072775
                     13,                  1.465,                 2.0646,                 1.7726,                0.54319,                0.46061,                0.47527,                0.31301,                 1.5883,                 1.8934,                 1.7363,               0.000703,               0.000703,               0.000703
                     14,                 1.4482,                 1.9834,                 1.7354,                0.52491,                0.48261,                0.49703,                0.32211,                 1.6061,                 1.9849,                 1.7262,             0.00067825,             0.00067825,             0.00067825
                     15,                   1.41,                  1.924,                 1.7212,                0.52447,                0.51559,                0.51213,                0.33631,                 1.5614,                 1.7726,                 1.7181,              0.0006535,              0.0006535,              0.0006535
                     16,                 1.4143,                   1.91,                 1.6989,                 0.6065,                0.48871,                0.54021,                0.35493,                 1.5756,                 1.6775,                 1.7137,             0.00062875,             0.00062875,             0.00062875
                     17,                 1.3725,                 1.8426,                 1.6687,                0.60004,                0.50855,                0.54491,                  0.378,                 1.4609,                 1.6885,                 1.6306,               0.000604,               0.000604,               0.000604
                     18,                 1.3563,                 1.8295,                 1.6649,                0.61573,                0.52357,                0.57319,                0.39887,                 1.4619,                 1.5922,                 1.6219,             0.00057925,             0.00057925,             0.00057925
                     19,                 1.3399,                 1.7803,                 1.6347,                0.62065,                0.53094,                0.57751,                0.40724,                 1.4222,                 1.5644,                 1.5851,              0.0005545,              0.0005545,              0.0005545
                     20,                 1.3318,                 1.7483,                 1.6257,                0.64078,                0.53296,                 0.5955,                0.41615,                 1.3687,                 1.5094,                 1.5469,             0.00052975,             0.00052975,             0.00052975
                     21,                 1.3246,                 1.7522,                  1.624,                 0.5575,                0.54606,                 0.5722,                0.40226,                 1.3884,                 1.5119,                 1.5569,               0.000505,               0.000505,               0.000505
                     22,                 1.2896,                 1.6695,                 1.5912,                0.63756,                0.57908,                0.61778,                0.43184,                 1.3682,                   1.47,                 1.5428,             0.00048025,             0.00048025,             0.00048025
                     23,                 1.2885,                 1.6825,                 1.5909,                0.65194,                0.59649,                0.63955,                0.45096,                 1.3511,                 1.4045,                 1.5285,              0.0004555,              0.0004555,              0.0004555
                     24,                 1.2648,                 1.6434,                 1.5798,                0.66872,                0.58628,                0.64972,                0.46018,                 1.3351,                 1.3853,                 1.5155,             0.00043075,             0.00043075,             0.00043075
                     25,                 1.2764,                 1.6281,                 1.5699,                 0.6733,                0.61581,                0.65538,                 0.4645,                 1.3358,                 1.3819,                 1.5009,               0.000406,               0.000406,               0.000406
                     26,                 1.2696,                 1.6193,                 1.5613,                0.68384,                0.62202,                0.66277,                0.47801,                 1.2973,                 1.3645,                 1.4757,             0.00038125,             0.00038125,             0.00038125
                     27,                 1.2301,                 1.5704,                 1.5358,                0.72612,                 0.5924,                0.67378,                0.47903,                 1.3031,                 1.3219,                 1.4697,              0.0003565,              0.0003565,              0.0003565
                     28,                 1.2294,                 1.5558,                 1.5366,                0.68092,                0.62413,                0.68219,                0.49335,                 1.2676,                 1.3082,                 1.4591,             0.00033175,             0.00033175,             0.00033175
                     29,                 1.2261,                 1.5533,                 1.5405,                0.69766,                0.62037,                 0.6865,                0.49566,                 1.2621,                 1.2693,                 1.4464,               0.000307,               0.000307,               0.000307
                     30,                 1.1863,                 1.4938,                 1.5092,                0.73531,                0.63653,                0.71107,                0.51714,                 1.2475,                 1.2585,                 1.4311,             0.00028225,             0.00028225,             0.00028225
                     31,                 1.1831,                 1.3712,                 1.4954,                0.74399,                0.63847,                0.71879,                0.52491,                 1.2294,                 1.2312,                 1.4209,              0.0002575,              0.0002575,              0.0002575
                     32,                 1.1504,                 1.2713,                 1.4775,                0.74468,                0.66787,                0.73153,                0.53364,                 1.2155,                 1.1947,                 1.4039,             0.00023275,             0.00023275,             0.00023275
                     33,                 1.1246,                 1.2505,                 1.4463,                0.74033,                0.66685,                 0.7426,                0.54807,                 1.1943,                 1.1875,                 1.3875,               0.000208,               0.000208,               0.000208
                     34,                  1.111,                 1.2244,                 1.4411,                0.74772,                0.67414,                0.74679,                0.55045,                 1.1903,                 1.1496,                 1.3805,             0.00018325,             0.00018325,             0.00018325
                     35,                 1.1012,                 1.1899,                 1.4297,                 0.7574,                0.69268,                0.76425,                 0.5712,                 1.1622,                 1.1119,                 1.3649,              0.0001585,              0.0001585,              0.0001585
                     36,                 1.0974,                 1.1697,                 1.4279,                0.75231,                0.69351,                0.76727,                 0.5718,                 1.1521,                 1.1153,                 1.3571,             0.00013375,             0.00013375,             0.00013375
                     37,                 1.0837,                 1.1467,                 1.4053,                0.78824,                0.67727,                0.77362,                0.58363,                 1.1395,                 1.0923,                 1.3407,               0.000109,               0.000109,               0.000109
                     38,                  1.073,                 1.1315,                 1.4069,                0.77906,                0.68696,                0.77659,                0.58551,                 1.1342,                 1.0832,                  1.334,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                 1.0527,                 1.1136,                 1.3935,                0.79884,                 0.6764,                0.77929,                 0.5904,                 1.1286,                 1.0665,                 1.3288,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                  1.048,                 1.0978,                 1.3918,                0.79116,                0.68989,                0.78494,                0.59622,                  1.115,                 1.0611,                 1.3251,              3.475e-05,              3.475e-05,              3.475e-05
