                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3656,                 4.2836,                 3.9465,                0.52286,                0.06527,                0.00956,                0.00226,                 3.0732,                 5.1616,                 3.3266,             0.00033304,             0.00033304,             0.00033304
                      2,                 2.7013,                 3.6874,                 3.0692,                0.03761,                0.06314,                0.02203,                0.00835,                 2.7406,                 5.6998,                 2.8663,             0.00063338,             0.00063338,             0.00063338
                      3,                 2.2584,                 3.3007,                 2.5895,                0.28746,                0.15136,                0.09537,                0.04772,                  2.387,                  3.605,                 2.5388,             0.00090073,             0.00090073,             0.00090073
                      4,                 2.0248,                 3.0079,                 2.3377,                0.48827,                0.14853,                0.13045,                0.07462,                 2.2618,                 3.4743,                 2.3942,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.8804,                 2.8186,                 2.2051,                 0.3477,                0.25796,                0.21322,                0.13422,                 2.0846,                 2.8945,                 2.2232,               0.000802,               0.000802,               0.000802
                      6,                 1.8176,                 2.7052,                 2.1086,                0.30446,                0.26011,                0.23362,                0.14719,                 2.0036,                 2.9287,                 2.1463,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.7366,                 2.5591,                 2.0318,                0.29403,                0.29403,                0.24791,                0.15631,                 1.9719,                 2.5071,                 2.0663,               0.000703,               0.000703,               0.000703
                      8,                 1.6845,                 2.4777,                 1.9889,                0.40304,                0.33827,                0.30848,                0.19233,                 1.8937,                 2.4545,                  1.997,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.6283,                 2.3726,                 1.9267,                0.43478,                0.36615,                0.33462,                 0.2155,                 1.8218,                 2.2549,                 1.9193,               0.000604,               0.000604,               0.000604
                     10,                 1.6092,                 2.3208,                 1.8947,                0.42708,                0.40519,                0.36998,                0.23809,                 1.7752,                 2.1568,                 1.8834,              0.0005545,              0.0005545,              0.0005545
                     11,                  1.612,                 2.2154,                 1.9361,                0.45078,                0.43073,                0.39564,                0.25922,                 1.7392,                  2.103,                 1.8501,               0.000505,               0.000505,               0.000505
                     12,                 1.5318,                 2.0534,                 1.8587,                0.48622,                0.43961,                 0.4352,                0.28794,                 1.6776,                  1.948,                 1.8006,              0.0004555,              0.0004555,              0.0004555
                     13,                    1.5,                 1.9697,                 1.8215,                0.52849,                0.44327,                0.45262,                0.30567,                 1.6031,                 1.8628,                 1.7313,               0.000406,               0.000406,               0.000406
                     14,                 1.4485,                 1.8541,                 1.7585,                0.56075,                0.46534,                0.49574,                0.32994,                 1.5956,                 1.7694,                 1.7213,              0.0003565,              0.0003565,              0.0003565
                     15,                 1.4192,                 1.8072,                 1.7369,                0.52847,                0.50366,                0.51319,                0.34902,                 1.5375,                 1.7254,                 1.6878,               0.000307,               0.000307,               0.000307
                     16,                 1.3886,                 1.7521,                 1.6967,                 0.5762,                0.50141,                0.52942,                0.36745,                 1.4701,                  1.675,                  1.624,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.3574,                 1.6795,                 1.6662,                0.60432,                0.52085,                0.55401,                 0.3888,                 1.4489,                 1.5966,                  1.596,               0.000208,               0.000208,               0.000208
                     18,                 1.3341,                 1.6281,                 1.6391,                0.59745,                0.53421,                 0.5625,                0.39035,                 1.4508,                 1.5837,                 1.6089,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.3324,                 1.6127,                 1.6529,                0.62059,                0.54696,                0.58394,                0.40831,                 1.4321,                 1.5404,                 1.5925,               0.000109,               0.000109,               0.000109
                     20,                 1.2911,                 1.5615,                 1.6186,                0.61643,                 0.5477,                0.58869,                0.41389,                 1.4056,                 1.5261,                 1.5624,               5.95e-05,               5.95e-05,               5.95e-05
